item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,100024,7920031519232112,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/ad2f2bec-cdc6-43d0-abfc-dd74123aeaeb.jpg,0,0,南靖县,南靖县,23011623,1100003817,南靖县,7920031519232112,3,,,建面,毛坯,117.368598,24.544404,,凤翔花园城,凤翔花园城,,南靖县山城镇闽发路,南靖县山城镇闽发路,5188,5188,南靖县山城镇闽发路,fxhycafrzc,[],[],[],"['现房', '休闲广场', '景区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2016-05-01,0,0,5188,元/平,均价,5天,2019-10-30 09:41:44,2,,0,0,均价5188元/平,,"[{'id': 'img_4072789', 'image_id': '4072789', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_1440,l_rorate_logo'}]",5188,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-05-30 14:26:47,,0,0,[],[],243852325347741700,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741700"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100024""}",,,/loupan/p_fxhycafrzc/,[],,[],
0,,100030,7920031371327256,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/57877a05-34f0-4f5f-8fb5-a486f14faf3f.jpg,0,0,芗城区,芗城区,23011620,1100005368,一七五,7920031371327256,3,,,建面,毛坯,117.683148,24.52662,,信和御龙天下,信和御龙天下,"御龍天下,信和·御龍天下",腾飞路298号,芗城区丹霞路与漳华路交汇处往东100米,15000,15000,腾飞路298号,xhyltxafrzi,[],[],[],"['公交直达', '绿化率高', '银行']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-05-12,0,0,15000,元/平,均价,5天,2019-10-30 09:41:15,2,,0,0,均价15000元/平,,"[{'id': 'img_4072600', 'image_id': '4072600', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-05-30 17:16:20,,0,0,[],[],243852325347741701,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741701"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100030""}",,,/loupan/p_xhyltxafrzi/,[],,[],
0,,100072,7920031590529162,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/ce17fc2f-72d3-430d-ab4d-007efb0e9627.jpg,0,0,平和县,平和县,23011622,1100003816,平和县,7920031590529162,3,,,建面,精装修,117.329111,24.379983,,锦绣柚都,锦绣柚都,,平和县玉溪路与宝坑路交汇处,平和县迎旁宾路305号（南环往漳州方向700米）,7200,7200,平和县玉溪路与宝坑路交汇处,jxydafsay,[],[],[],"['现房', '绿化率高']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-10,0,0,7200,元/平,均价,5天,2019-10-30 09:40:59,2,,0,0,均价7200元/平,,"[{'id': 'img_4072928', 'image_id': '4072928', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ce17fc2f-72d3-430d-ab4d-007efb0e9627.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ce17fc2f-72d3-430d-ab4d-007efb0e9627.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ce17fc2f-72d3-430d-ab4d-007efb0e9627.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ce17fc2f-72d3-430d-ab4d-007efb0e9627.jpg!m_fill,w_1440,l_rorate_logo'}]",7200,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-05-31 17:26:59,,0,0,[],[],243852325347741702,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741702"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100072""}",,,/loupan/p_jxydafsay/,[],,[],
0,,100341,7920031851880167,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/5d5167a6-3eb1-41f0-9032-397c1aca213d.jpg,0,0,漳州港,漳州港,23011872,1100005423,漳州港,7920031851880167,3,,,建面,毛坯,117.992715,24.402709,,福晟南湾一号,福晟南湾一号,,龙海招银港收费站东侧100米（厦漳大桥桥头）,龙海招银港收费站东侧100米,15000,13000,龙海招银港收费站东侧100米（厦漳大桥桥头）,fcnwyhafslh,[],[],[],"['绿化率高', '小型社区']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-10-01,0,0,13000,元/平,均价,5天,2019-10-30 09:41:37,2,,0,0,均价13000元/平,,"[{'id': 'img_4073106', 'image_id': '4073106', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1b6419af-2beb-4ffe-9607-82c30777c185.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1b6419af-2beb-4ffe-9607-82c30777c185.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1b6419af-2beb-4ffe-9607-82c30777c185.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1b6419af-2beb-4ffe-9607-82c30777c185.jpg!m_fill,w_1440,l_rorate_logo'}]",13000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-06-12 11:21:38,,0,0,[],[],243852325347741703,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741703"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100341""}",,,/loupan/p_fcnwyhafslh/,[],,[],
0,,100381,7920030545826070,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/71cb5e25-8388-49e8-9bfc-a69665b15e5d.jpg,65,137,龙文区,龙文区,23011625,1100005463,蓝田,7920030545826070,3,建面 65-137㎡,65-137㎡,建面,毛坯,117.717472,24.528073,2/3/5居,福晟钱隆公馆二期,福晟钱隆公馆二期,钱隆公馆, 北环城路与规划龙昌路交汇处,龙文区漳华东路学府阳光3#02-09店面,12000,12000, 北环城路与规划龙昌路交汇处,cqlggafsmv,[],[],"[{'bedroom_count': '2', 'area_range': '65㎡'}, {'bedroom_count': '3', 'area_range': '115-119㎡'}, {'bedroom_count': '5', 'area_range': '137㎡'}]","['品牌房企', '小户型', '现房', '绿化率高']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-12-31,0,840000,12000,元/平,均价,5天,2019-10-30 09:41:06,2,,0,0,均价12000元/平,55,"[{'id': 'img_4071240', 'image_id': '4071240', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/62187a71-f38c-4c00-aa4f-8e419b9f6f5a.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/62187a71-f38c-4c00-aa4f-8e419b9f6f5a.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/62187a71-f38c-4c00-aa4f-8e419b9f6f5a.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/62187a71-f38c-4c00-aa4f-8e419b9f6f5a.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,78,万/套起,11932,元/平起,2018-06-13 17:35:55,,0,0,[],[],243852325347741704,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741704"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100381""}",,,/loupan/p_cqlggafsmv/,[],,[],
0,,100790,7920032456104387,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/ec4c4052-2d6c-4e6e-985b-9a9e41aff0fb.jpg,75,109,角美台商投资区,角美台商投资区,23011871,1100005421,角美台商投资区,7920032456104387,3,建面 75-109㎡,75-109㎡,建面,毛坯,117.897233,24.53299,3居,角美大唐世家,角美大唐世家,,同发路角美大唐世家,漳州龙海市324国道与同发路交汇处,20000,18500,同发路角美大唐世家,jmdtsjaftco,[],[],"[{'bedroom_count': '3', 'area_range': '75-109㎡'}]",['小户型'],"[{'id': '14', 'desc': '小户型', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-30,0,1350000,135,万/套,总价,5天,2019-10-30 09:40:28,2,,2,0,总价135万/套,,"[{'id': 'img_4073395', 'image_id': '4073395', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/22840e49-13d6-4cfa-866b-2f1a69a1f8ec.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/22840e49-13d6-4cfa-866b-2f1a69a1f8ec.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/22840e49-13d6-4cfa-866b-2f1a69a1f8ec.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/22840e49-13d6-4cfa-866b-2f1a69a1f8ec.jpg!m_fill,w_1440,l_rorate_logo'}]",18500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,160,万/套起,17977,元/平起,2018-07-02 11:27:15,,0,0,[],[],243852325347741705,"{""fb_query_id"":""243852325314187264"",""fb_expo_id"":""243852325347741705"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""100790""}",,,/loupan/p_jmdtsjaftco/,[],,[],
0,,60325,7920030730380034,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/c1a64bf1-c0d9-4bfa-841b-a6cf8c120981.JPG,82,134,角美台商投资区,角美台商投资区,23011871,1100005422,龙池开发区,7920030730380034,3,建面 82-134㎡,82-134㎡,建面,精装修,117.931838,24.486115,4/5居,泰禾红树湾院子,泰禾红树湾院子,,漳州台商投资区龙池，龙池大道与鸿渐路交汇处,漳州台商投资区龙池，龙池大道与鸿渐路交汇处,24000,22000,漳州台商投资区龙池，龙池大道与鸿渐路交汇处,thhswyzadlgf,[],[],"[{'bedroom_count': '4', 'area_range': '82-134㎡'}, {'bedroom_count': '5', 'area_range': '98㎡'}]",[],[],住宅,107500000003,在售,0,0,0,0,2018-06-17,0,0,22000,元/平,均价,5天,2019-10-30 09:40:50,2,,2,0,均价22000元/平,,"[{'id': 'img_4071598', 'image_id': '4071598', 'type_id': '101900000003', 'type_name': '项目现场', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/a88a65c0-78db-4c42-a8ef-d0e9c6fa0533.JPG', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/a88a65c0-78db-4c42-a8ef-d0e9c6fa0533.JPG!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/a88a65c0-78db-4c42-a8ef-d0e9c6fa0533.JPG!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/a88a65c0-78db-4c42-a8ef-d0e9c6fa0533.JPG!m_fill,w_1440,l_rorate_logo'}]",22000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,196,万/套起,23902,元/平起,2018-06-06 17:22:02,,0,0,[],[],243852326354989056,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989056"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""60325""}",,,/loupan/p_thhswyzadlgf/,[],,[],
0,,28917,7920028576838757,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/aa72b218-b74c-4008-8813-74711ba6d917.jpg,90,141,龙文区,龙文区,23011625,1100005460,人民广场,7920028576838757,3,建面 90-141㎡,90-141㎡,建面,毛坯,117.706749,24.527377,3/4居,融信壹号府,融信壹号府,,漳华路与龙江北路的交汇处,芗城区漳华路与龙江北路的交汇处,14500,13600,漳华路与龙江北路的交汇处,rxyhfabquf,[],[],"[{'bedroom_count': '3', 'area_range': '90-105㎡'}, {'bedroom_count': '4', 'area_range': '116-141㎡'}]","['复式', '绿化率高', '配套齐全', '购物方便']","[{'id': '16', 'desc': '复式', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '4', 'desc': '配套齐全', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-24,0,1400000,13600,元/平,均价,5天,2019-10-30 09:40:50,2,,0,0,均价13600元/平,,"[{'id': 'img_4069633', 'image_id': '4069633', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/f9c31139-18bb-40da-8a09-1875cc6b9547.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/f9c31139-18bb-40da-8a09-1875cc6b9547.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/f9c31139-18bb-40da-8a09-1875cc6b9547.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/f9c31139-18bb-40da-8a09-1875cc6b9547.jpg!m_fill,w_1440,l_rorate_logo'}]",13600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,144,万/套起,15384,元/平起,2018-02-04 09:55:11,,0,0,[],[],243852326354989057,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989057"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""28917""}",,,/loupan/p_rxyhfabquf/,[],,[],
0,,100012,7920031552781750,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/593b855f-81ec-4a57-8531-bf5f0a00ab43.png,0,0,华安县,华安县,23011617,1100003811,华安县,7920031552781750,3,,,建面,毛坯,117.557038,25.059947,,九龙兴城,九龙兴城,水岸香堤,华安县华安开发区九龙江东侧，九龙大道南区块,华安经济开发区九龙大道九龙兴城B4栋1楼,5500,5500,华安县华安开发区九龙江东侧，九龙大道南区块,jlxcafryq,[],[],[],"['低单价', '大型社区']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-99,0,0,5500,元/平,均价,5天,2019-10-30 09:41:29,2,,0,0,均价5500元/平,,"[{'id': 'img_4072894', 'image_id': '4072894', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/593b855f-81ec-4a57-8531-bf5f0a00ab43.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/593b855f-81ec-4a57-8531-bf5f0a00ab43.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/593b855f-81ec-4a57-8531-bf5f0a00ab43.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/593b855f-81ec-4a57-8531-bf5f0a00ab43.png!m_fill,w_1440,l_rorate_logo'}]",5500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-05-30 10:38:19,,0,0,[],[],243852326354989058,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989058"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100012""}",,,/loupan/p_jlxcafryq/,[],,[],
0,,100022,7920031527623065,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/c81f7e60-13e0-42d1-a6fd-c33e1d0a7b77.jpg,0,0,龙文区,龙文区,23011625,1100005463,蓝田,7920031527623065,3,,,建面,毛坯,117.73629,24.528992,,翼特丽景城,翼特丽景城,,龙文区北环城路与龙祥北路交接处,漳州市龙文区北环城路以北，龙祥北路以东,7188,9500,龙文区北环城路与龙祥北路交接处,ytljcafrza,[],[],[],"['低单价', '公交直达', '现房', '大型社区']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-03-99,0,0,9500,元/平,均价,5天,2019-10-30 09:41:29,2,,0,0,均价9500元/平,,"[{'id': 'img_4072846', 'image_id': '4072846', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d6ce6d10-0013-4b30-9add-929a78d28ba3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d6ce6d10-0013-4b30-9add-929a78d28ba3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d6ce6d10-0013-4b30-9add-929a78d28ba3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d6ce6d10-0013-4b30-9add-929a78d28ba3.jpg!m_fill,w_1440,l_rorate_logo'}]",9500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-05-30 13:50:54,,0,0,[],[],243852326354989059,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989059"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100022""}",,,/loupan/p_ytljcafrza/,[],,[],
0,,100024,7920031519232112,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/ad2f2bec-cdc6-43d0-abfc-dd74123aeaeb.jpg,0,0,南靖县,南靖县,23011623,1100003817,南靖县,7920031519232112,3,,,建面,毛坯,117.368598,24.544404,,凤翔花园城,凤翔花园城,,南靖县山城镇闽发路,南靖县山城镇闽发路,5188,5188,南靖县山城镇闽发路,fxhycafrzc,[],[],[],"['现房', '休闲广场', '景区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2016-05-01,0,0,5188,元/平,均价,5天,2019-10-30 09:41:44,2,,0,0,均价5188元/平,,"[{'id': 'img_4072789', 'image_id': '4072789', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b015c5fa-b13d-49d1-aeb1-7d5fd1101365.jpg!m_fill,w_1440,l_rorate_logo'}]",5188,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-05-30 14:26:47,,0,0,[],[],243852326354989060,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989060"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100024""}",,,/loupan/p_fxhycafrzc/,[],,[],
0,,100030,7920031371327256,350600,漳州市,https://image1.ljcdn.com/hdic-resblock/57877a05-34f0-4f5f-8fb5-a486f14faf3f.jpg,0,0,芗城区,芗城区,23011620,1100005368,一七五,7920031371327256,3,,,建面,毛坯,117.683148,24.52662,,信和御龙天下,信和御龙天下,"御龍天下,信和·御龍天下",腾飞路298号,芗城区丹霞路与漳华路交汇处往东100米,15000,15000,腾飞路298号,xhyltxafrzi,[],[],[],"['公交直达', '绿化率高', '银行']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-05-12,0,0,15000,元/平,均价,5天,2019-10-30 09:41:15,2,,0,0,均价15000元/平,,"[{'id': 'img_4072600', 'image_id': '4072600', 'type_id': '101900000001', 'type_name': '实景图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7902fd3b-6bce-4efe-b230-7ae2f3eab493.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-05-30 17:16:20,,0,0,[],[],243852326354989061,"{""fb_query_id"":""243852326313046016"",""fb_expo_id"":""243852326354989061"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100030""}",,,/loupan/p_xhyltxafrzi/,[],,[],
