item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,10015,457623455027288,370101,济南市,https://image1.ljcdn.com/hdic-resblock/7fe31c44-6cb2-4259-ad8a-683680a97ff7.jpg,109,132,长清,长清,23008849,613000402,长清,457623455027288,3,建面 109-132㎡,109-132㎡,建面,毛坯,116.76117763638,36.548139724153,2/3/4居,汇侨城,汇侨城,,经十西路汇侨城,长清区经十西路与龙泉街交汇处南行300米,9700,9700,经十西路汇侨城,hqcaaovf,[],[],"[{'bedroom_count': '2', 'area_range': '114㎡'}, {'bedroom_count': '3', 'area_range': '109-132㎡'}, {'bedroom_count': '4', 'area_range': '114㎡'}]","['自持商业', '环线房', '近主干道', '现房']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-01-13,0,0,9700,元/平,均价,168天,2019-05-20 17:26:50,2,,0,0,均价9700元/平,,"[{'id': 'img_3277221', 'image_id': '3277221', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_1440,l_rorate_logo'}]",9700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,106,万/套起,9663,元/平起,2017-02-07 16:59:15,法国欧洛克风格设计建筑,0,0,[],[],243850984676831233,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831233"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""10015""}",,/loupan/p_hqcaaovf/,[],,[],,4,楼盘亮点,法国欧洛克风格设计建筑
0,,10019,4511059546329,370101,济南市,https://image1.ljcdn.com/hdic-resblock/b5fd2e17-c452-4b00-9017-ebf4bedadc7e.jpg,105,135,长清,长清,23008849,613000402,长清,4511059546329,3,建面 105-135㎡,105-135㎡,建面,精装修,116.78725979409,36.565290147461,3居,恒大绿洲,恒大绿洲,济南恒大绿洲,大学路6155号,长清区大学路检察院路口向北400米,11000,9600,大学路6155号,hdlzyxaaovj,[],[],"[{'bedroom_count': '3', 'area_range': '105-135㎡'}]","['贴心物业', '环线房', '近主干道', '现房']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-10-17,0,0,9600,元/平,均价,168天,2019-05-20 17:26:50,2,,2,0,均价9600元/平,,"[{'id': 'img_3053471', 'image_id': '3053471', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b5fd2e17-c452-4b00-9017-ebf4bedadc7e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b5fd2e17-c452-4b00-9017-ebf4bedadc7e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b5fd2e17-c452-4b00-9017-ebf4bedadc7e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b5fd2e17-c452-4b00-9017-ebf4bedadc7e.jpg!m_fill,w_1440,l_rorate_logo'}]",9600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,104,万/套起,9719,元/平起,2018-10-15 17:16:47,长清大学城片区品质化社区,1,0,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243850984676831234,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831234"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""10019""}",,/loupan/p_hdlzyxaaovj/,[],,[],,4,楼盘亮点,长清大学城片区品质化社区
0,,100201,4520031599012747,370101,济南市,https://image1.ljcdn.com/hdic-resblock/cbed7af1-2b53-4cf4-8081-916ad752fb7b.jpeg,97,160,历城,历城,23008848,611100764,唐冶,4520031599012747,3,建面 97-160㎡,97-160㎡,建面,精装修,117.222357,36.698427,3/4居,中骏玖唐府,中骏玖唐府,玖唐府,世纪大道与龙凤山路交汇处北行200米,龙凤山路与世纪大道交汇处北行200米,18000,16000,世纪大道与龙凤山路交汇处北行200米,jtfafsfx,[],[],"[{'bedroom_count': '3', 'area_range': '117-128㎡'}, {'bedroom_count': '4', 'area_range': '145-160㎡'}]","['品牌房企', '贴心物业', '多轨交汇', '环线房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-31,0,1740000,16000,元/平,均价,168天,2019-05-20 17:23:56,2,,2,0,均价16000元/平,59,"[{'id': 'img_3823938', 'image_id': '3823938', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/f0af6f2f-d37b-4ca0-804f-f4ffc682acc4.jpeg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/f0af6f2f-d37b-4ca0-804f-f4ffc682acc4.jpeg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/f0af6f2f-d37b-4ca0-804f-f4ffc682acc4.jpeg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/f0af6f2f-d37b-4ca0-804f-f4ffc682acc4.jpeg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,185,万/套起,15811,元/平起,2018-06-06 14:57:01,唐冶新区住宅升级精装三居室,1,0,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243850984676831235,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831235"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100201""}",,/loupan/p_jtfafsfx/,[],,[],,4,楼盘亮点,唐冶新区住宅升级精装三居室
0,,100211,4520030265676662,370101,济南市,https://image1.ljcdn.com/hdic-resblock/d0e3b37f-3702-49f0-8c2a-5341f8ae5959.jpg,125,275,章丘,章丘,23008878,1100005705,章丘大学城,4520030265676662,3,建面 125-275㎡,125-275㎡,建面,精装修,117.551289,36.696748,3/4/6居,玖珑府,玖珑府,,绣水大街玖珑府,章丘区绣水大街与唐王山路交汇处东300m路北,9500,9500,绣水大街玖珑府,jlfafsgh,[],[],"[{'bedroom_count': '3', 'area_range': '125㎡'}, {'bedroom_count': '4', 'area_range': '143-188㎡'}, {'bedroom_count': '6', 'area_range': '275㎡'}]","['贴心物业', '养老房', '多轨交汇', '公交直达']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-99,0,0,9500,元/平,均价,96天,2019-07-31 11:33:30,2,,0,0,均价9500元/平,101,"[{'id': 'img_3820946', 'image_id': '3820946', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d7762c13-7968-4ce4-9a38-cefbb323fb53.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d7762c13-7968-4ce4-9a38-cefbb323fb53.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d7762c13-7968-4ce4-9a38-cefbb323fb53.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d7762c13-7968-4ce4-9a38-cefbb323fb53.jpg!m_fill,w_1440,l_rorate_logo'}]",9500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,119,万/套起,9490,元/平起,2018-06-06 09:22:11,三强房企联袂打造房167万起,0,0,[],[],243850984676831236,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831236"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100211""}",,/loupan/p_jlfafsgh/,[],,[],,4,楼盘亮点,三强房企联袂打造房167万起
0,,10024,457438029828928,370101,济南市,https://image1.ljcdn.com/hdic-resblock/cc063443-6db6-4114-ae3c-110ef12cd0c7.jpg,105,166,长清,长清,23008849,1100005701,长清大学城,457438029828928,3,建面 105-166㎡,105-166㎡,建面,精装修,116.815932,36.519546,3/4居,中建长清湖,中建长清湖,,芙蓉路中建长清湖,长清区芙蓉路与海棠路交汇处,9850,9850,芙蓉路中建长清湖,zjcqhaaovo,[],[],"[{'bedroom_count': '3', 'area_range': '105-146㎡'}, {'bedroom_count': '4', 'area_range': '166㎡'}]","['贴心物业', '环线房', '近主干道', '现房']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-09-99,0,0,9850,元/平,均价,168天,2019-05-20 17:26:50,2,,0,0,均价9850元/平,,"[{'id': 'img_3276225', 'image_id': '3276225', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/40b533bc-4385-4e3e-8ee1-013242937025.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/40b533bc-4385-4e3e-8ee1-013242937025.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/40b533bc-4385-4e3e-8ee1-013242937025.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/40b533bc-4385-4e3e-8ee1-013242937025.jpg!m_fill,w_1440,l_rorate_logo'}]",9850,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,105,万/套起,9863,元/平起,2018-10-15 17:16:47,山水共融的特色园林景观,0,0,[],[],243850984676831237,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831237"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""10024""}",,/loupan/p_zjcqhaaovo/,[],,[],,4,楼盘亮点,山水共融的特色园林景观
0,,100321,4520031777293774,370101,济南市,https://image1.ljcdn.com/hdic-resblock/c49bc6bb-c6ad-47eb-9d87-eab28b9c5335.jpg,380,550,历城,历城,23008848,611100764,唐冶,4520031777293774,3,建面 380-550㎡,380-550㎡,建面,毛坯,117.228557,36.7049,2居,绿地城市大脑数字产业小镇,绿地城市大脑数字产业小镇,绿地城,世纪大道与唐冶中路交叉口西200米,世纪大道与唐冶中路交叉口西200米,16500,16500,世纪大道与唐冶中路交叉口西200米,ldcsdnszcyxzafskn,[],[],"[{'bedroom_count': '2', 'area_range': '380-550㎡'}]","['品牌房企', '复式', '环线房', '近主干道']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '16', 'desc': '复式', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",写字楼,107500000006,在售,0,0,0,0,2018-06-20,0,6310000,16500,元/平,均价,168天,2019-05-20 17:18:53,2,,0,0,均价16500元/平,108,"[{'id': 'img_4958931', 'image_id': '4958931', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/4d36cd6ee9dd54670e5035015bd84900.jpeg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/4d36cd6ee9dd54670e5035015bd84900.jpeg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4d36cd6ee9dd54670e5035015bd84900.jpeg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4d36cd6ee9dd54670e5035015bd84900.jpeg!m_fill,w_1440,l_rorate_logo'}]",16500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,59A5EB,646,万/套起,17000,元/平起,2018-06-11 12:10:47,世纪大道花园办公商墅,0,0,[],[],243850984676831238,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831238"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100321""}",,/loupan/p_ldcsdnszcyxzafskn/,[],,[],,4,楼盘亮点,世纪大道花园办公商墅
0,,10047,457419003153725,370101,济南市,https://image1.ljcdn.com/hdic-resblock/55266dc7-0a9e-440f-bafe-1c22fada4acc.jpg,92,127,章丘,章丘,23008878,613000685,章丘,457419003153725,3,建面 92-127㎡,92-127㎡,建面,毛坯,117.5287080523,36.703875949928,1/2/3居,福泰新都城,福泰新都城,,福泰路1567号,章丘市明水福泰路1567号（双山西路以西、西外环路以东）,9800,9100,福泰路1567号,ftxdcaaowl,[],[],"[{'bedroom_count': '1', 'area_range': '99㎡'}, {'bedroom_count': '2', 'area_range': '92.45-93㎡'}, {'bedroom_count': '3', 'area_range': '117-127㎡'}]","['贴心物业', '养老房', '环线房', '开发区']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-99,0,860000,9100,元/平,均价,96天,2019-07-31 11:33:44,2,,0,0,均价9100元/平,,"[{'id': 'img_3275976', 'image_id': '3275976', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/ca1bd5fc-54c5-46e1-99b4-1e1827e959b3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/ca1bd5fc-54c5-46e1-99b4-1e1827e959b3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/ca1bd5fc-54c5-46e1-99b4-1e1827e959b3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/ca1bd5fc-54c5-46e1-99b4-1e1827e959b3.jpg!m_fill,w_1440,l_rorate_logo'}]",9100,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,91,万/套起,9747,元/平起,2018-11-09 17:23:58,三居刚需房源均价9100,0,0,[],[],243850984676831239,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831239"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""10047""}",,/loupan/p_ftxdcaaowl/,[],,[],,4,楼盘亮点,三居刚需房源均价9100
0,,100569,4520032121506629,370101,济南市,https://image1.ljcdn.com/hdic-resblock/d8c1d344-c57e-496f-9c7d-318ff364359c.jpg,102,125,历城,历城,23008848,613000441,王舍人,4520032121506629,3,建面 102-125㎡,102-125㎡,建面,精装修,117.138652,36.73723,3居,新城香溢华庭,新城香溢华庭,新城香溢澜庭,开源路与工业北路交汇处向北800米,开源路与工业北路交汇处向北800米,15800,13700,开源路与工业北路交汇处向北800米,xcxyhtafsub,[],[],"[{'bedroom_count': '3', 'area_range': '102-125㎡'}]","['品牌房企', '贴心物业', '多轨交汇', '环线房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-21,0,1580000,13700,元/平,均价,168天,2019-05-20 17:18:53,2,,2,0,均价13700元/平,16,"[{'id': 'img_3824352', 'image_id': '3824352', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d8c1d344-c57e-496f-9c7d-318ff364359c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d8c1d344-c57e-496f-9c7d-318ff364359c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d8c1d344-c57e-496f-9c7d-318ff364359c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d8c1d344-c57e-496f-9c7d-318ff364359c.jpg!m_fill,w_1440,l_rorate_logo'}]",13700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,157,万/套起,15250,元/平起,2018-06-22 17:35:35,一梯二户洋房 双开门电梯,1,0,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243850984676831240,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831240"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100569""}",,/loupan/p_xcxyhtafsub/,[],,[],,4,楼盘亮点,一梯二户洋房 双开门电梯
0,,100619,4520032126753575,370101,济南市,https://image1.ljcdn.com/hdic-resblock/d675c7ca-aff2-407f-b2fb-ce874b05d779.png,0,0,高新,高新,23008898,613000416,齐鲁软件园,4520032126753575,3,,,建面,毛坯,117.144201,36.666942,,银丰科技公园,银丰科技公园,,高新区舜泰广场北侧、舜华路东侧,高新区经十东路万科金域中心2号楼1楼,0,36000,高新区舜泰广场北侧、舜华路东侧,yfkjgyafsvz,[],[],[],"['自持商业', '环线房', '近主干道', '购物方便']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-12-99,0,0,36000,元/平,均价,168天,2019-05-20 17:20:37,2,,0,0,均价36000元/平,101,"[{'id': 'img_4986954', 'image_id': '4986954', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/bc11e2957e90fd4e95a9767ef115627f.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/bc11e2957e90fd4e95a9767ef115627f.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/bc11e2957e90fd4e95a9767ef115627f.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/bc11e2957e90fd4e95a9767ef115627f.jpg!m_fill,w_1440,l_rorate_logo'}]",36000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-06-25 09:39:16,融商务与自然花园办公房,0,0,[],[],243850984676831241,"{""fb_query_id"":""243850984651665408"",""fb_expo_id"":""243850984676831241"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""100619""}",,/loupan/p_yfkjgyafsvz/,[],,[],,4,楼盘亮点,融商务与自然花园办公房
0,,10013,457599136452389,370101,济南市,https://image1.ljcdn.com/hdic-resblock/0e7d71a8-61d6-4309-b59a-5bb1717f22b8.jpg,91,218,历下,历下,23008844,613000872,凤山路,457599136452389,3,建面 91-218㎡,91-218㎡,建面,毛坯,117.173358,36.679902,2/3/4居,三庆城市主人,三庆城市主人,城市主人,凤山路与兴港路交汇口处东南侧,济南市历下区凤山路与兴港路交汇口处东南侧,19500,16800,凤山路与兴港路交汇口处东南侧,sqcszraaovd,[],[],"[{'bedroom_count': '2', 'area_range': '91㎡'}, {'bedroom_count': '3', 'area_range': '143㎡'}, {'bedroom_count': '4', 'area_range': '186-218㎡'}]","['贴心物业', '避暑', '多轨交汇', '环线房']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '34', 'desc': '避暑', 'color': ''}, {'id': '45', 'desc': '多轨交汇', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2014-04-08,0,790000,16800,元/平,均价,96天,2019-07-31 16:08:07,2,,0,0,均价16800元/平,,"[{'id': 'img_3276666', 'image_id': '3276666', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/3d8f3a61-e074-4ab3-83fd-6ef13b2d7663.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/3d8f3a61-e074-4ab3-83fd-6ef13b2d7663.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/3d8f3a61-e074-4ab3-83fd-6ef13b2d7663.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/3d8f3a61-e074-4ab3-83fd-6ef13b2d7663.jpg!m_fill,w_1440,l_rorate_logo'}]",16800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,177,万/套起,16972,元/平起,0000-00-00 00:00:00,雪山片区三庆集团生态绿色居所,0,0,[],[],243850985763155968,"{""fb_query_id"":""243850985733795840"",""fb_expo_id"":""243850985763155968"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""10013""}",,/loupan/p_sqcszraaovd/,[],,[],,4,楼盘亮点,雪山片区三庆集团生态绿色居所
0,,10015,457623455027288,370101,济南市,https://image1.ljcdn.com/hdic-resblock/7fe31c44-6cb2-4259-ad8a-683680a97ff7.jpg,109,132,长清,长清,23008849,613000402,长清,457623455027288,3,建面 109-132㎡,109-132㎡,建面,毛坯,116.76117763638,36.548139724153,2/3/4居,汇侨城,汇侨城,,经十西路汇侨城,长清区经十西路与龙泉街交汇处南行300米,9700,9700,经十西路汇侨城,hqcaaovf,[],[],"[{'bedroom_count': '2', 'area_range': '114㎡'}, {'bedroom_count': '3', 'area_range': '109-132㎡'}, {'bedroom_count': '4', 'area_range': '114㎡'}]","['自持商业', '环线房', '近主干道', '现房']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-01-13,0,0,9700,元/平,均价,168天,2019-05-20 17:26:50,2,,0,0,均价9700元/平,,"[{'id': 'img_3277221', 'image_id': '3277221', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/9cc32e71-3829-45cc-8606-bba720f04aec.jpg!m_fill,w_1440,l_rorate_logo'}]",9700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,106,万/套起,9663,元/平起,2017-02-07 16:59:15,法国欧洛克风格设计建筑,0,0,[],[],243850985763155969,"{""fb_query_id"":""243850985733795840"",""fb_expo_id"":""243850985763155969"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""10015""}",,/loupan/p_hqcaaovf/,[],,[],,4,楼盘亮点,法国欧洛克风格设计建筑
